,name,url,coordinates,crs,published_date,grid_bb
0,map_74427695.png,https://maps.nls.uk/view/74427695,"(-4.3341064453125, 55.83522882231773, -4.1748046875, 55.896876336360755)",EPSG:4326,1858,"[(16, 31979, 20441)x(16, 32007, 20460)]"
1,map_74427696.png,https://maps.nls.uk/view/74427696,"(-4.1802978515625, 55.83522882231773, -4.02099609375, 55.896876336360755)",EPSG:4326,1858,"[(16, 32007, 20441)x(16, 32035, 20460)]"
